meio,resid
Carro,Taguatinga
Carro,Guará 2
Carro,Brasília
Carro,Taguatinga
Carro,Taguatinga
Carro,Sobradinho
Carro,Brasília
Carro,Brasília
Carro,Brasília
Carro,Taguatinga
Carro,Brasília
Carro,Asa Norte
Carro,Guará
Carro,Brasília
Carro,Brasília
Carro,Águas Claras
Carro,Sobradinho
Carro,Asa Sul
Carro,Águas Claras
Carro,Sobradinho
Carro,Brasília
Carro,Brasília
Carro,Guará
Carro,Mangueiral
Carro,Planaltina
Carro,Mangueiral
Carro,Samambaia
Carro,Brasília
Carro,Águas Lindas
Carro,São Sebastião
Carro,Taguatinga
Ônibus,Cruzeiro
Ônibus,Cruzeiro
Ônibus,Guará 2
Ônibus,Brasília
Ônibus,Brasília
Ônibus,Santa maria
Ônibus,São Sebastião
Ônibus,Sobradinho
Ônibus,Ceilândia
Ônibus,São Sebastião
Ônibus,Taguatinga
Ônibus,Recanto das Emas
Ônibus,Ceilândia
Ônibus,Taguatinga
Ônibus,Brasília
Ônibus,Recanto das Emas
Ônibus,Cruzeiro
Ônibus,Sobradinho
Ônibus,Brasília
Ônibus,Brasília
Ônibus,Recanto das Emas
Ônibus,São Sebastião
Ônibus,Brasília
Ônibus,São Sebastião
Ônibus,Brasília
Ônibus,Mangueiral
Ônibus,Planaltina
Ônibus,Águas Lindas
Ônibus,Taguatinga
A pé ou bicicleta,Brasília
A pé ou bicicleta,Asa Norte
A pé ou bicicleta,Brasília
A pé ou bicicleta,Brasília
A pé ou bicicleta,Asa Norte
Metrô,Taguatinga
Metrô,Taguatinga
Metrô,Taguatinga
Metrô,Samambaia
Metrô,Taguatinga
Metrô,Águas Claras
Metrô,Ceilândia
Metrô,Taguatinga
