ida_tempo,volta_tempo,cred,estudo,ativ,sono
40,40,205.71428571428572,240,0,420
80,60,205.71428571428572,180,60,360
40,40,205.71428571428572,240,60,360
40,80,205.71428571428572,3,0,480
30,30,205.71428571428572,240,1,420
26.633333333333333,25,137.14285714285714,240,540,360
50,50,205.71428571428572,180,30,480
75.43333333333334,97.23333333333333,205.71428571428572,312.3833333333333,25,314
70,70,205.71428571428572,180,180,480
40,40,205.71428571428572,60,0,480
80,100,205.71428571428572,90,60,360
40,60,205.71428571428572,360,120,360
40,25,205.71428571428572,60,120,360
15,15,205.71428571428572,360,30,450
90,60,154.28571428571428,330.53333333333336,120,330
20,30,205.71428571428572,90,180,420
70,90,205.71428571428572,300,420,300
60,60,205.71428571428572,240,0,420
12,15,102.85714285714286,120,540,360
60,60,205.71428571428572,20,0,480
30,30,154.28571428571428,60,120,480
95,80,205.71428571428572,20,0,360
10,15,85.71428571428571,60,600,480
90,120,205.71428571428572,180,80,360
25,25,137.14285714285714,120,360,480
90,90,205.71428571428572,180,0,420
60,60,205.71428571428572,30,60,480
10,35,205.71428571428572,180,60,540
50,60,257.14285714285717,180,0,300
100,120,205.71428571428572,120,60,480
60,30,205.71428571428572,30,60,420
45,60,205.71428571428572,120,0,360
80,60,205.71428571428572,240,60,360
50,60,154.28571428571428,60,300,360
30,40,257.14285714285717,300,60,300
60,60,205.71428571428572,300,60,360
30,30,205.71428571428572,120,0,360
20,40,137.14285714285714,210,480.1333333333333,300
90,60,154.28571428571428,240,90,300
60,60,51.42857142857143,30,480,420
80,60,154.28571428571428,120,120,480
120,180,205.71428571428572,30,300,360
25,25,205.71428571428572,120,0,360
60,90,188.57142857142858,60,270,390
20,23,205.71428571428572,60,0,480
60,60,205.71428571428572,60,60,480
90,90,154.28571428571428,120,0,600
30,40,205.71428571428572,180,60,480
40,30,205.71428571428572,120,60,420
15,20,120,0,360,480
30,40,205.71428571428572,240,240,300
40,120,205.71428571428572,360,300,420
30,40,205.71428571428572,240,240,300
75,40,0,120,480,360
50,40,205.71428571428572,120,240,360
15,15,205.71428571428572,420,30,420
70,100,205.71428571428572,120,60,420
60,80,137.14285714285714,120,60,540
90,60,205.71428571428572,120,60,360
80,60,205.71428571428572,180,120,300
