ID,ANO,REG,LOCAL,TAM_MUN,ADM,TAM_ESCOLA,MATRICULADOS,PARTICIPACAO,NOTA_LP,NOTA_MT
1,2011,CO,1,1,2,2,29,"93,1034482758621","187,07","207,68"
2,2011,CO,1,1,2,2,29,"96,551724137931","214,26","226,63"
3,2011,CO,1,2,2,3,60,100,"198,71","223,25"
4,2011,CO,1,3,2,2,33,"90,9090909090909","199,23","225,5"
5,2011,CO,1,5,2,3,65,"90,7692307692308","192,64","206,18"
6,2011,CO,1,5,2,4,128,"96,875","206,62","234,06"
7,2011,NE,1,1,2,2,25,100,"178,45","212,73"
8,2011,NE,1,2,2,2,26,"92,3076923076923","217,57","223,55"
9,2011,NE,1,4,2,3,69,"82,6086956521739","155,94","167,53"
10,2011,NE,1,4,2,3,84,"53,5714285714286","150,11","158,61"
11,2011,NE,1,5,2,3,68,"94,1176470588235","159,05","164,81"
12,2011,N,1,2,2,4,104,"78,8461538461538","204,68","241,8"
13,2011,N,1,2,2,4,126,"77,7777777777778","151,94","165,05"
14,2011,N,1,3,2,3,73,"94,5205479452055","185,34","208,69"
15,2011,N,1,4,2,2,26,"76,9230769230769","177,61","196,27"
16,2011,SE,1,1,2,2,41,"78,0487804878049","187,61","205,67"
17,2011,SE,1,1,2,3,63,"92,0634920634921","190,92","212,02"
18,2011,SE,1,2,2,3,60,95,"217,1","244,67"
19,2011,SE,1,2,2,4,106,"97,1698113207547","218,41","247,25"
20,2011,SE,1,2,2,4,132,"90,9090909090909","188,07","202,55"
21,2011,SE,1,3,2,3,95,100,"218,54","249,2"
22,2011,SE,1,3,2,4,111,"99,0990990990991","209,69","231,96"
23,2011,SE,1,4,2,2,35,"91,4285714285714","176,98","203,16"
24,2011,SE,1,4,2,2,45,"91,1111111111111","190,13","217,69"
25,2011,SE,1,4,2,3,60,"86,6666666666667","189,84","200,39"
26,2011,SE,1,4,2,3,86,"87,2093023255814","209,8","242,02"
27,2011,SE,1,4,2,3,89,"95,5056179775281","182,73","199,49"
28,2011,SE,1,4,2,3,95,"90,5263157894737","194,62","211,93"
29,2011,SE,1,4,2,4,127,"98,4251968503937","233,98","259,02"
30,2011,SE,1,4,2,4,185,"95,1351351351351","234,42","262,51"
31,2011,SE,1,4,2,4,279,"96,0573476702509","193,95","219,81"
32,2011,SE,1,5,2,3,52,"94,2307692307692","170,59","196,08"
